epoch bias variance
2.630000000000000000e+02 5.784071087837219238e-01 5.428218687027692724e-01
2.640000000000000000e+02 6.014476865530014038e-01 5.383998905450105843e-01
2.650000000000000000e+02 5.922927930951118469e-01 5.400855791658170091e-01
2.660000000000000000e+02 5.903154239058494568e-01 5.412209038794042470e-01
2.670000000000000000e+02 5.858182907104492188e-01 5.400199562042952151e-01
2.680000000000000000e+02 6.099638417363166809e-01 5.385042052388191447e-01
2.690000000000000000e+02 6.099903807044029236e-01 5.395315328538421440e-01
2.700000000000000000e+02 5.836474820971488953e-01 5.417971343398093609e-01
2.710000000000000000e+02 6.177664324641227722e-01 5.413072756171226629e-01
2.720000000000000000e+02 6.045728102326393127e-01 5.406545584768056578e-01
2.730000000000000000e+02 5.795128121972084045e-01 5.410614667594435545e-01
2.740000000000000000e+02 5.980050191283226013e-01 5.400229133456946329e-01
2.750000000000000000e+02 5.862071886658668518e-01 5.417542062193154706e-01
2.760000000000000000e+02 5.872966498136520386e-01 5.421892096549272289e-01
2.770000000000000000e+02 5.840628072619438171e-01 5.409310010015966341e-01
2.780000000000000000e+02 6.064608097076416016e-01 5.420463257849217342e-01
2.790000000000000000e+02 5.902429372072219849e-01 5.438253480613233215e-01
2.800000000000000000e+02 5.876258462667465210e-01 5.429956063777208186e-01
2.810000000000000000e+02 5.794404223561286926e-01 5.420130933374167626e-01
2.820000000000000000e+02 5.802986025810241699e-01 5.422460598945617605e-01
2.830000000000000000e+02 6.303210034966468811e-01 5.418892871528864230e-01
2.840000000000000000e+02 5.831505209207534790e-01 5.418758059531452176e-01
2.850000000000000000e+02 5.853790342807769775e-01 5.434640382826327887e-01
2.860000000000000000e+02 5.862791463732719421e-01 5.454371290326118782e-01
2.870000000000000000e+02 5.948747843503952026e-01 5.427847669184209245e-01
2.880000000000000000e+02 5.901026949286460876e-01 5.430069752603770006e-01
2.890000000000000000e+02 5.870130807161331177e-01 5.440197964161637145e-01
2.900000000000000000e+02 6.025966405868530273e-01 5.428504143208265909e-01
2.910000000000000000e+02 5.926214903593063354e-01 5.435056379616263200e-01
2.920000000000000000e+02 5.927088782191276550e-01 5.446091834485531358e-01
2.930000000000000000e+02 5.983612388372421265e-01 5.452477309435606045e-01
2.940000000000000000e+02 5.861878544092178345e-01 5.446588238030671825e-01
2.950000000000000000e+02 5.949167907238006592e-01 5.450066281110048649e-01
2.960000000000000000e+02 5.909520611166954041e-01 5.456062075227503527e-01
2.970000000000000000e+02 5.806673765182495117e-01 5.440961530923842382e-01
2.980000000000000000e+02 5.786035656929016113e-01 5.448978929728269804e-01
2.990000000000000000e+02 5.956390351057052612e-01 5.447530744105577583e-01
3.000000000000000000e+02 6.009008437395095825e-01 5.442377143174410570e-01
3.010000000000000000e+02 5.826227590441703796e-01 5.453141477644445345e-01
3.020000000000000000e+02 5.913039147853851318e-01 5.448162698090075473e-01
3.030000000000000000e+02 5.861091911792755127e-01 5.457779918730258917e-01
3.040000000000000000e+02 5.904089510440826416e-01 5.451213863879442734e-01
3.050000000000000000e+02 5.929483026266098022e-01 5.466074136018752583e-01
3.060000000000000000e+02 5.835132673382759094e-01 5.463593899309637791e-01
3.070000000000000000e+02 5.987696349620819092e-01 5.452137213230132673e-01
3.080000000000000000e+02 5.999474003911018372e-01 5.461180217325687369e-01
3.090000000000000000e+02 5.839413329958915710e-01 5.452581393152478029e-01
3.100000000000000000e+02 5.843746364116668701e-01 5.472593806713819120e-01
3.110000000000000000e+02 5.883788019418716431e-01 5.474469197541476095e-01
3.120000000000000000e+02 5.915168225765228271e-01 5.469955209285021214e-01
3.130000000000000000e+02 5.955183953046798706e-01 5.468897512197494759e-01
3.140000000000000000e+02 5.863279327750205994e-01 5.470274711459874872e-01
3.150000000000000000e+02 5.887176617980003357e-01 5.475967865645885446e-01
3.160000000000000000e+02 6.000816822052001953e-01 5.466229859292508486e-01
3.170000000000000000e+02 6.227343454957008362e-01 5.458494769930839485e-01
3.180000000000000000e+02 5.881825909018516541e-01 5.469639939188957189e-01
3.190000000000000000e+02 6.062707975506782532e-01 5.474860274463893006e-01
3.200000000000000000e+02 5.901052206754684448e-01 5.476163740158082049e-01
3.210000000000000000e+02 5.800986886024475098e-01 5.480257672041655148e-01
3.220000000000000000e+02 5.890870317816734314e-01 5.467169425785542991e-01
3.230000000000000000e+02 5.875683277845382690e-01 5.506227022200823606e-01
3.240000000000000000e+02 5.998488590121269226e-01 5.482640863716603530e-01
3.250000000000000000e+02 5.963222384452819824e-01 5.475174064189195500e-01
3.260000000000000000e+02 5.794022604823112488e-01 5.488491531193256945e-01
3.270000000000000000e+02 5.976342484354972839e-01 5.473559973120689648e-01
3.280000000000000000e+02 5.925948396325111389e-01 5.480644193798303032e-01
3.290000000000000000e+02 6.044458672404289246e-01 5.489848439544440240e-01
3.300000000000000000e+02 5.814450979232788086e-01 5.495625730544329013e-01
3.310000000000000000e+02 6.017686352133750916e-01 5.487490613609553591e-01
3.320000000000000000e+02 5.856594592332839966e-01 5.495373416155577839e-01
3.330000000000000000e+02 5.844230279326438904e-01 5.500767566829920519e-01
3.340000000000000000e+02 5.940662175416946411e-01 5.497606098681688813e-01
3.350000000000000000e+02 5.952359586954116821e-01 5.490319097489119171e-01
3.360000000000000000e+02 5.844549611210823059e-01 5.494419326126576131e-01
3.370000000000000000e+02 5.874871909618377686e-01 5.502714296042920950e-01
3.380000000000000000e+02 5.914295241236686707e-01 5.493653004288674424e-01
3.390000000000000000e+02 5.865924656391143799e-01 5.502153721541165332e-01
3.400000000000000000e+02 5.939567089080810547e-01 5.508848414897918877e-01
3.410000000000000000e+02 5.960266739130020142e-01 5.507390414416790669e-01
3.420000000000000000e+02 5.900296047329902649e-01 5.525608226448301963e-01
3.430000000000000000e+02 5.926529839634895325e-01 5.501732939779762077e-01
3.440000000000000000e+02 5.937352105975151062e-01 5.509854136168961247e-01
3.450000000000000000e+02 5.967352166771888733e-01 5.494303761094808669e-01
3.460000000000000000e+02 5.957701504230499268e-01 5.506021268785001865e-01
3.470000000000000000e+02 5.955457761883735657e-01 5.516889487653970914e-01
3.480000000000000000e+02 5.811455622315406799e-01 5.511008399158718873e-01
3.490000000000000000e+02 5.944842621684074402e-01 5.512671502947807944e-01
3.500000000000000000e+02 6.347249522805213928e-01 5.502015573859214692e-01
3.510000000000000000e+02 5.936254784464836121e-01 5.522798787206412152e-01
3.520000000000000000e+02 6.099072992801666260e-01 5.513123520135883027e-01
3.530000000000000000e+02 5.906776562333106995e-01 5.519691770255565899e-01
3.540000000000000000e+02 6.073674857616424561e-01 5.519515872746706409e-01
3.550000000000000000e+02 5.865253359079360962e-01 5.518451899796725790e-01
3.560000000000000000e+02 5.916150584816932678e-01 5.522527980387210711e-01
3.570000000000000000e+02 6.062370762228965759e-01 5.520275829851626348e-01
3.580000000000000000e+02 5.957263782620429993e-01 5.522446509957315008e-01
3.590000000000000000e+02 5.954832807183265686e-01 5.528312721669674801e-01
3.600000000000000000e+02 6.109306588768959045e-01 5.513147506415845278e-01
3.610000000000000000e+02 6.192211657762527466e-01 5.516358307629825042e-01
3.620000000000000000e+02 5.933652147650718689e-01 5.521880419820548447e-01
3.630000000000000000e+02 5.929385423660278320e-01 5.523483123093844149e-01
3.640000000000000000e+02 5.988606065511703491e-01 5.531915510147809023e-01
3.650000000000000000e+02 5.967025905847549438e-01 5.518352669984103454e-01
3.660000000000000000e+02 6.032388731837272644e-01 5.512356383234262580e-01
3.670000000000000000e+02 6.013974174857139587e-01 5.520116861194372948e-01
3.680000000000000000e+02 5.993517115712165833e-01 5.523540102154016473e-01
3.690000000000000000e+02 5.917794704437255859e-01 5.536914373338222006e-01
3.700000000000000000e+02 5.890446007251739502e-01 5.540237803906205016e-01
3.710000000000000000e+02 5.926531627774238586e-01 5.551667848169803410e-01
3.720000000000000000e+02 5.967140197753906250e-01 5.537555211335420946e-01
3.730000000000000000e+02 5.974714383482933044e-01 5.532895830541850746e-01
3.740000000000000000e+02 5.858017429709434509e-01 5.534408780992030596e-01
3.750000000000000000e+02 5.926708877086639404e-01 5.530328555822374703e-01
3.760000000000000000e+02 5.933666974306106567e-01 5.537560942351817950e-01
3.770000000000000000e+02 5.878845676779747009e-01 5.535475985199213023e-01
3.780000000000000000e+02 5.959150344133377075e-01 5.532972157925368784e-01
