sv conv fc
4.307359313964843750e+01 9.937939047813415527e-01 1.112368330359458923e-01
4.298019027709960938e+01 9.931911826133728027e-01 1.164960712194442749e-01
4.290794372558593750e+01 9.933429956436157227e-01 1.151934936642646790e-01
4.290467071533203125e+01 9.937354326248168945e-01 1.117583289742469788e-01
4.287242507934570312e+01 9.933153986930847168e-01 1.154318004846572876e-01
4.283944702148437500e+01 9.929921627044677734e-01 1.181800514459609985e-01
4.280018997192382812e+01 9.928700923919677734e-01 1.192012652754783630e-01
4.271944808959960938e+01 9.933987259864807129e-01 1.147122308611869812e-01
4.267413330078125000e+01 9.939436316490173340e-01 1.098908185958862305e-01
4.265996170043945312e+01 9.933547973632812500e-01 1.150921881198883057e-01
4.261923599243164062e+01 9.935618042945861816e-01 1.132903322577476501e-01
4.259434127807617188e+01 9.933645725250244141e-01 1.150081753730773926e-01
4.255766296386718750e+01 9.931756854057312012e-01 1.166272237896919250e-01
4.247206878662109375e+01 9.936711192131042480e-01 1.123277246952056885e-01
4.242527770996093750e+01 9.933705329895019531e-01 1.149567738175392151e-01
4.237627029418945312e+01 9.931160807609558105e-01 1.171338185667991638e-01
4.234429168701171875e+01 9.935219883918762207e-01 1.136394441127777100e-01
4.225912475585937500e+01 9.935072064399719238e-01 1.137693971395492554e-01
4.224476242065429688e+01 9.932399988174438477e-01 1.160779818892478943e-01
4.221272277832031250e+01 9.934974908828735352e-01 1.138531193137168884e-01
4.216947555541992188e+01 9.930575489997863770e-01 1.176292151212692261e-01
4.216110992431640625e+01 9.926224350929260254e-01 1.212468594312667847e-01
4.213364410400390625e+01 9.928910136222839355e-01 1.190266981720924377e-01
4.210080337524414062e+01 9.935401678085327148e-01 1.134804114699363708e-01
4.201979827880859375e+01 9.936469197273254395e-01 1.125422418117523193e-01
4.198753738403320312e+01 9.929214715957641602e-01 1.187724620103836060e-01
4.193884277343750000e+01 9.934712052345275879e-01 1.140830889344215393e-01
4.186676025390625000e+01 9.931256771087646484e-01 1.170530691742897034e-01
4.182472991943359375e+01 9.930481910705566406e-01 1.177079454064369202e-01
4.180361938476562500e+01 9.929949641227722168e-01 1.181565299630165100e-01
4.174385070800781250e+01 9.928806424140930176e-01 1.191137135028839111e-01
4.169412231445312500e+01 9.935587048530578613e-01 1.133180335164070129e-01
4.166461181640625000e+01 9.934370517730712891e-01 1.143803223967552185e-01
4.161157989501953125e+01 9.934408664703369141e-01 1.143464148044586182e-01
4.157828903198242188e+01 9.935439229011535645e-01 1.134470850229263306e-01
4.154771423339843750e+01 9.933558702468872070e-01 1.150824576616287231e-01
4.152127075195312500e+01 9.927578568458557129e-01 1.201320588588714600e-01
4.147548294067382812e+01 9.925329089164733887e-01 1.219773739576339722e-01
4.139734268188476562e+01 9.930256605148315430e-01 1.178974136710166931e-01
4.138562774658203125e+01 9.930251836776733398e-01 1.179023087024688721e-01
4.132971191406250000e+01 9.930217862129211426e-01 1.179302930831909180e-01
4.129665374755859375e+01 9.932215809822082520e-01 1.162359640002250671e-01
4.125193786621093750e+01 9.927548766136169434e-01 1.201565638184547424e-01
4.121906280517578125e+01 9.931550025939941406e-01 1.168032065033912659e-01
4.118546676635742188e+01 9.928755164146423340e-01 1.191560402512550354e-01
4.114160156250000000e+01 9.934545159339904785e-01 1.142275333404541016e-01
4.112802886962890625e+01 9.932056665420532227e-01 1.163711100816726685e-01
4.111299896240234375e+01 9.925161600112915039e-01 1.221128925681114197e-01
4.105189895629882812e+01 9.934028387069702148e-01 1.146768704056739807e-01
4.103821182250976562e+01 9.933281540870666504e-01 1.153212934732437134e-01
4.101216125488281250e+01 9.930844902992248535e-01 1.174017041921615601e-01
4.098645019531250000e+01 9.929153919219970703e-01 1.188230514526367188e-01
4.093692779541015625e+01 9.927411079406738281e-01 1.202708184719085693e-01
4.092227935791015625e+01 9.934883713722229004e-01 1.139336004853248596e-01
4.089245605468750000e+01 9.933394789695739746e-01 1.152238622307777405e-01
4.083608245849609375e+01 9.933721423149108887e-01 1.149422600865364075e-01
4.076207733154296875e+01 9.927023649215698242e-01 1.205897256731987000e-01
4.072793197631835938e+01 9.927138090133666992e-01 1.204955056309700012e-01
4.069679260253906250e+01 9.930062294006347656e-01 1.180620491504669189e-01
4.068057250976562500e+01 9.931624531745910645e-01 1.167401969432830811e-01
4.066661834716796875e+01 9.926812648773193359e-01 1.207636743783950806e-01
4.062406539916992188e+01 9.929255247116088867e-01 1.187380626797676086e-01
4.060158157348632812e+01 9.928010106086730957e-01 1.197750419378280640e-01
4.056623458862304688e+01 9.929072260856628418e-01 1.188917383551597595e-01
4.048761367797851562e+01 9.930143356323242188e-01 1.179933249950408936e-01
4.046982574462890625e+01 9.927332997322082520e-01 1.203353554010391235e-01
4.046308135986328125e+01 9.925473332405090332e-01 1.218592599034309387e-01
4.039673995971679688e+01 9.925999641418457031e-01 1.214296966791152954e-01
4.036657714843750000e+01 9.930844306945800781e-01 1.174028217792510986e-01
4.035464477539062500e+01 9.925144910812377930e-01 1.221260577440261841e-01
4.033923339843750000e+01 9.925947189331054688e-01 1.214726120233535767e-01
4.028978729248046875e+01 9.928454756736755371e-01 1.194061115384101868e-01
4.022854995727539062e+01 9.926654696464538574e-01 1.208935752511024475e-01
4.020735168457031250e+01 9.927675724029541016e-01 1.200521364808082581e-01
4.018679046630859375e+01 9.928551912307739258e-01 1.193258389830589294e-01
4.015553283691406250e+01 9.923648238182067871e-01 1.233367025852203369e-01
4.011708450317382812e+01 9.928466677665710449e-01 1.193963065743446350e-01
4.010084152221679688e+01 9.928945302963256836e-01 1.189976409077644348e-01
4.005302429199218750e+01 9.927133321762084961e-01 1.205002516508102417e-01
4.001651763916015625e+01 9.927065372467041016e-01 1.205561906099319458e-01
3.999629974365234375e+01 9.927459359169006348e-01 1.202315092086791992e-01
3.995839309692382812e+01 9.925587773323059082e-01 1.217664927244186401e-01
3.993869781494140625e+01 9.926364421844482422e-01 1.211315989494323730e-01
3.986243057250976562e+01 9.922269582748413086e-01 1.244410946965217590e-01
3.985280990600585938e+01 9.924026131629943848e-01 1.230323091149330139e-01
3.981926727294921875e+01 9.926228523254394531e-01 1.212425529956817627e-01
3.980089950561523438e+01 9.933174252510070801e-01 1.154134571552276611e-01
3.977751159667968750e+01 9.926642775535583496e-01 1.209030523896217346e-01
3.975205612182617188e+01 9.918712973594665527e-01 1.272446066141128540e-01
3.969070434570312500e+01 9.927616715431213379e-01 1.201006621122360229e-01
3.965325164794921875e+01 9.925190806388854980e-01 1.220896691083908081e-01
3.964372253417968750e+01 9.925370812416076660e-01 1.219429597258567810e-01
3.962093353271484375e+01 9.923616647720336914e-01 1.233628243207931519e-01
3.956198120117187500e+01 9.925662875175476074e-01 1.217044144868850708e-01
3.955132675170898438e+01 9.930790066719055176e-01 1.174476593732833862e-01
3.948483276367187500e+01 9.925387501716613770e-01 1.219295710325241089e-01
3.944068145751953125e+01 9.926008582115173340e-01 1.214230135083198547e-01
3.943017578125000000e+01 9.919809699058532715e-01 1.263871043920516968e-01
3.940379714965820312e+01 9.932199120521545410e-01 1.162495613098144531e-01
3.934406661987304688e+01 9.922620654106140137e-01 1.241606920957565308e-01
3.931980514526367188e+01 9.926568269729614258e-01 1.209638938307762146e-01
3.929518127441406250e+01 9.920673966407775879e-01 1.257071793079376221e-01
3.928590393066406250e+01 9.918850660324096680e-01 1.271378695964813232e-01
3.923657226562500000e+01 9.926396608352661133e-01 1.211048737168312073e-01
3.920678329467773438e+01 9.919324517250061035e-01 1.267678141593933105e-01
3.917437744140625000e+01 9.913754463195800781e-01 1.310525983572006226e-01
3.913908004760742188e+01 9.925647377967834473e-01 1.217183098196983337e-01
3.910005950927734375e+01 9.924736022949218750e-01 1.224589347839355469e-01
3.904055023193359375e+01 9.922300577163696289e-01 1.244168207049369812e-01
3.903551483154296875e+01 9.921604394912719727e-01 1.249703094363212585e-01
3.901496887207031250e+01 9.928160309791564941e-01 1.196511834859848022e-01
3.893502807617187500e+01 9.925529360771179199e-01 1.218137890100479126e-01
3.892559432983398438e+01 9.923660159111022949e-01 1.233273744583129883e-01
3.891127014160156250e+01 9.919072389602661133e-01 1.269648671150207520e-01
3.887183380126953125e+01 9.924955368041992188e-01 1.222805008292198181e-01
3.885240173339843750e+01 9.925711154937744141e-01 1.216652765870094299e-01
3.883363723754882812e+01 9.924828410148620605e-01 1.223834604024887085e-01
3.876933288574218750e+01 9.925061464309692383e-01 1.221945285797119141e-01
3.874694061279296875e+01 9.925822019577026367e-01 1.215751022100448608e-01
3.872827148437500000e+01 9.923678040504455566e-01 1.233127191662788391e-01
3.872414398193359375e+01 9.923083186149597168e-01 1.237903609871864319e-01
3.869841384887695312e+01 9.925435185432434082e-01 1.218900308012962341e-01
3.867195892333984375e+01 9.922944903373718262e-01 1.239012107253074646e-01
3.865712356567382812e+01 9.922550320625305176e-01 1.242172867059707642e-01
3.855915832519531250e+01 9.924202561378479004e-01 1.228901520371437073e-01
3.854494857788085938e+01 9.928732514381408691e-01 1.191749125719070435e-01
3.848633956909179688e+01 9.926750659942626953e-01 1.208143532276153564e-01
3.848316574096679688e+01 9.920467734336853027e-01 1.258691400289535522e-01
3.847474670410156250e+01 9.927244186401367188e-01 1.204086840152740479e-01
3.844935607910156250e+01 9.924896955490112305e-01 1.223279610276222229e-01
3.841152954101562500e+01 9.925352334976196289e-01 1.219585984945297241e-01
3.839386749267578125e+01 9.927243590354919434e-01 1.204089894890785217e-01
3.835730361938476562e+01 9.927876591682434082e-01 1.198859661817550659e-01
3.830027389526367188e+01 9.920244216918945312e-01 1.260457932949066162e-01
