epoch conv ff
2.030000000000000000e+02 3.121867537920081070e-06 1.443013083189725930e-04
2.040000000000000000e+02 2.780284630819529601e-06 1.028712489642202908e-04
2.050000000000000000e+02 2.913019323665012555e-06 1.162959262728691128e-04
2.060000000000000000e+02 2.929216517739200927e-06 1.239271601662039703e-04
2.070000000000000000e+02 2.917123932326363046e-06 1.141466666013002423e-04
2.080000000000000000e+02 3.164693239293058677e-06 1.383343013003468622e-04
2.090000000000000000e+02 2.996245754048851734e-06 1.212569768540561199e-04
2.100000000000000000e+02 2.724013601912110262e-06 9.762793197296560353e-05
2.110000000000000000e+02 3.329042320713137376e-06 1.554828486405313015e-04
2.120000000000000000e+02 3.144651331043686885e-06 1.434401725418865626e-04
2.130000000000000000e+02 3.076284514730280498e-06 1.367905759252607931e-04
2.140000000000000000e+02 3.096280932594306031e-06 1.345410826615989317e-04
2.150000000000000000e+02 2.812925046589478397e-06 1.282692071981728185e-04
2.160000000000000000e+02 2.657431688833166517e-06 6.543654599227011475e-05
2.170000000000000000e+02 3.001359289900319994e-06 1.239081844687461799e-04
2.180000000000000000e+02 2.917199276604068022e-06 1.108448719605803435e-04
2.190000000000000000e+02 2.785646585779502782e-06 8.601170848123728687e-05
2.200000000000000000e+02 3.042304412234440921e-06 1.187949790619313690e-04
2.210000000000000000e+02 2.956040906082691270e-06 1.128626405261456912e-04
2.220000000000000000e+02 2.687619175486797564e-06 8.141839643940329010e-05
2.230000000000000000e+02 2.935971757859208906e-06 1.071892329491674900e-04
2.240000000000000000e+02 3.384414741841105995e-06 1.714867888949811513e-04
2.250000000000000000e+02 2.828549860153701462e-06 1.012407359667122418e-04
2.260000000000000000e+02 2.828314494875748577e-06 8.626806666143239087e-05
2.270000000000000000e+02 2.912916566666081137e-06 1.024111406877636909e-04
2.280000000000000000e+02 3.322707952893923435e-06 1.534030539914965575e-04
2.290000000000000000e+02 2.896514320500389361e-06 9.871996007859706879e-05
2.300000000000000000e+02 2.887213903877329410e-06 1.065201009623706287e-04
2.310000000000000000e+02 2.853034272537168664e-06 9.053017711266875809e-05
2.320000000000000000e+02 3.109437243941350841e-06 1.231121248565614332e-04
2.330000000000000000e+02 3.207051536479641010e-06 1.299338415265083259e-04
2.340000000000000000e+02 3.273179551618377989e-06 1.549354754388332475e-04
2.350000000000000000e+02 3.241597744239084246e-06 1.419916865415871198e-04
2.360000000000000000e+02 3.050686146657415945e-06 1.149902469478547519e-04
2.370000000000000000e+02 2.985670271798164973e-06 1.033634878695011112e-04
2.380000000000000000e+02 2.898170692590816531e-06 9.496212587691842968e-05
2.390000000000000000e+02 3.032994193685699872e-06 1.115485443733632510e-04
2.400000000000000000e+02 3.331449203375838958e-06 1.397674321196973432e-04
2.410000000000000000e+02 2.989884599637932372e-06 1.035787514410912936e-04
2.420000000000000000e+02 3.338127007507872157e-06 1.439204788766801357e-04
2.430000000000000000e+02 3.124405564923487794e-06 1.084245392121374553e-04
2.440000000000000000e+02 3.098604610846559310e-06 1.214219140820205266e-04
