t risk
2.400000000000000000e+01 7.331733226776123047e+00
2.500000000000000000e+01 7.282754421234130859e+00
2.500000000000000000e+01 7.282754421234130859e+00
2.500000000000000000e+01 7.282754421234130859e+00
2.600000000000000000e+01 7.236928939819335938e+00
2.600000000000000000e+01 7.236928939819335938e+00
2.700000000000000000e+01 7.193048477172851562e+00
2.700000000000000000e+01 7.193048477172851562e+00
2.700000000000000000e+01 7.193048477172851562e+00
2.800000000000000000e+01 7.151742935180664062e+00
2.800000000000000000e+01 7.151742935180664062e+00
2.900000000000000000e+01 7.111843109130859375e+00
2.900000000000000000e+01 7.111843109130859375e+00
3.000000000000000000e+01 7.075678825378417969e+00
3.000000000000000000e+01 7.075678825378417969e+00
3.100000000000000000e+01 7.041268348693847656e+00
3.100000000000000000e+01 7.041268348693847656e+00
3.200000000000000000e+01 7.007984638214111328e+00
3.200000000000000000e+01 7.007984638214111328e+00
3.300000000000000000e+01 6.975589752197265625e+00
3.300000000000000000e+01 6.975589752197265625e+00
3.400000000000000000e+01 6.944121837615966797e+00
3.400000000000000000e+01 6.944121837615966797e+00
3.500000000000000000e+01 6.913587570190429688e+00
3.500000000000000000e+01 6.913587570190429688e+00
3.600000000000000000e+01 6.883860588073730469e+00
3.600000000000000000e+01 6.883860588073730469e+00
3.700000000000000000e+01 6.854962825775146484e+00
3.700000000000000000e+01 6.854962825775146484e+00
3.800000000000000000e+01 6.826908111572265625e+00
3.900000000000000000e+01 6.800079822540283203e+00
3.900000000000000000e+01 6.800079822540283203e+00
4.000000000000000000e+01 6.774300098419189453e+00
4.100000000000000000e+01 6.750337600708007812e+00
4.100000000000000000e+01 6.750337600708007812e+00
4.200000000000000000e+01 6.726942539215087891e+00
4.300000000000000000e+01 6.704092502593994141e+00
4.300000000000000000e+01 6.704092502593994141e+00
4.400000000000000000e+01 6.682199478149414062e+00
4.500000000000000000e+01 6.661122322082519531e+00
4.500000000000000000e+01 6.661122322082519531e+00
4.600000000000000000e+01 6.640666961669921875e+00
4.700000000000000000e+01 6.620509624481201172e+00
4.700000000000000000e+01 6.620509624481201172e+00
4.800000000000000000e+01 6.600954055786132812e+00
4.900000000000000000e+01 6.581908702850341797e+00
5.000000000000000000e+01 6.563891410827636719e+00
5.000000000000000000e+01 6.563891410827636719e+00
5.100000000000000000e+01 6.546267032623291016e+00
5.200000000000000000e+01 6.529020309448242188e+00
5.300000000000000000e+01 6.512137889862060547e+00
5.400000000000000000e+01 6.495611667633056641e+00
5.500000000000000000e+01 6.479419708251953125e+00
5.500000000000000000e+01 6.479419708251953125e+00
5.600000000000000000e+01 6.464259147644042969e+00
5.700000000000000000e+01 6.449778556823730469e+00
5.800000000000000000e+01 6.435631275177001953e+00
5.900000000000000000e+01 6.421752929687500000e+00
6.000000000000000000e+01 6.408161163330078125e+00
6.100000000000000000e+01 6.394978523254394531e+00
6.200000000000000000e+01 6.381944179534912109e+00
6.300000000000000000e+01 6.369259834289550781e+00
6.400000000000000000e+01 6.356846332550048828e+00
6.500000000000000000e+01 6.344586372375488281e+00
6.600000000000000000e+01 6.332724094390869141e+00
6.700000000000000000e+01 6.321005821228027344e+00
6.800000000000000000e+01 6.309618949890136719e+00
6.900000000000000000e+01 6.298410415649414062e+00
7.000000000000000000e+01 6.287521362304687500e+00
7.100000000000000000e+01 6.276783943176269531e+00
7.200000000000000000e+01 6.266293525695800781e+00
7.300000000000000000e+01 6.256025791168212891e+00
7.500000000000000000e+01 6.236104011535644531e+00
7.600000000000000000e+01 6.226534366607666016e+00
7.700000000000000000e+01 6.217039108276367188e+00
7.800000000000000000e+01 6.207905292510986328e+00
7.900000000000000000e+01 6.198845863342285156e+00
8.100000000000000000e+01 6.181339263916015625e+00
8.200000000000000000e+01 6.172915458679199219e+00
8.300000000000000000e+01 6.164588451385498047e+00
8.400000000000000000e+01 6.156498432159423828e+00
8.600000000000000000e+01 6.140808105468750000e+00
8.700000000000000000e+01 6.133759975433349609e+00
8.900000000000000000e+01 6.120080471038818359e+00
9.000000000000000000e+01 6.114126205444335938e+00
9.100000000000000000e+01 6.108548164367675781e+00
9.300000000000000000e+01 6.097558021545410156e+00
9.400000000000000000e+01 6.092210292816162109e+00
9.600000000000000000e+01 6.082197189331054688e+00
9.700000000000000000e+01 6.077353000640869141e+00
9.900000000000000000e+01 6.068027496337890625e+00
1.000000000000000000e+02 6.063436985015869141e+00
1.020000000000000000e+02 6.054609298706054688e+00
1.030000000000000000e+02 6.050254344940185547e+00
1.050000000000000000e+02 6.041850566864013672e+00
1.070000000000000000e+02 6.033820152282714844e+00
1.080000000000000000e+02 6.029910087585449219e+00
1.100000000000000000e+02 6.022306919097900391e+00
1.120000000000000000e+02 6.014960765838623047e+00
1.140000000000000000e+02 6.007877826690673828e+00
1.150000000000000000e+02 6.004446029663085938e+00
1.170000000000000000e+02 5.997709751129150391e+00
1.190000000000000000e+02 5.991206169128417969e+00
1.210000000000000000e+02 5.984911918640136719e+00
1.230000000000000000e+02 5.978820323944091797e+00
1.250000000000000000e+02 5.972932815551757812e+00
1.270000000000000000e+02 5.967229843139648438e+00
1.290000000000000000e+02 5.961709976196289062e+00
1.310000000000000000e+02 5.956370353698730469e+00
1.330000000000000000e+02 5.951189517974853516e+00
1.350000000000000000e+02 5.946169376373291016e+00
1.370000000000000000e+02 5.941319465637207031e+00
1.390000000000000000e+02 5.936622142791748047e+00
1.410000000000000000e+02 5.932077407836914062e+00
1.430000000000000000e+02 5.927639007568359375e+00
1.460000000000000000e+02 5.921270847320556641e+00
1.480000000000000000e+02 5.917172431945800781e+00
1.500000000000000000e+02 5.913194656372070312e+00
1.530000000000000000e+02 5.907453060150146484e+00
1.550000000000000000e+02 5.903791427612304688e+00
1.570000000000000000e+02 5.900213718414306641e+00
1.600000000000000000e+02 5.895037174224853516e+00
1.620000000000000000e+02 5.891715049743652344e+00
1.650000000000000000e+02 5.886924266815185547e+00
1.670000000000000000e+02 5.883828163146972656e+00
1.700000000000000000e+02 5.879356861114501953e+00
1.730000000000000000e+02 5.875069141387939453e+00
1.750000000000000000e+02 5.872303009033203125e+00
1.780000000000000000e+02 5.868332386016845703e+00
1.810000000000000000e+02 5.864516735076904297e+00
1.840000000000000000e+02 5.860836982727050781e+00
1.870000000000000000e+02 5.857294082641601562e+00
